part_id,staff,measure,onset_divisions,absolute_divisions,line,placement,syllabic,engraved_syllable,wordbuilder_token,extend,duration_divisions
P1,Soprano S,4,0,64,1,below,single,no,no,,16
P1,Soprano S,4,16,80,1,below,single,light,light,yes,16
P1,Soprano S,7,0,160,1,below,single,dark,dark,,8
P1,Soprano S,7,8,168,1,below,single,night?,night?,,16
P1,Soprano S,8,8,200,1,below,single,This,This,,8
P1,Soprano S,8,16,208,1,below,single,world,world,,8
P1,Soprano S,8,24,216,1,below,single,is,is,,8
P1,Soprano S,9,0,224,1,below,single,loud;,loud;,,8
P1,Soprano S,9,8,232,1,below,single,what,what,,8
P1,Soprano S,9,16,240,1,below,single,binds,binds,,8
P1,Soprano S,9,24,248,1,below,single,us,us,,8
P1,Soprano S,10,0,256,1,below,single,now?,now?,,8
P1,Soprano S,10,16,272,1,below,single,Soul?,Soul?,,16
P1,Soprano S,15,28,444,1,below,single,Look,Look,,2
P1,Soprano S,15,30,446,1,below,single,at,at,,2
P1,Soprano S,16,0,448,1,below,single,this!,this!,,8
P1,Soprano S,16,28,476,1,below,single,This,This,,4
P1,Soprano S,17,0,480,1,below,begin,ten,ten-,,6
P1,Soprano S,17,6,486,1,below,end,der,-der,,2
P1,Soprano S,17,8,488,1,below,single,world.,world.,,16
P1,Soprano S,17,24,504,1,below,single,Yet,Yet,,8
P1,Soprano S,18,0,512,1,below,single,love,love,yes,8
P1,Soprano S,19,8,552,1,below,single,shines,shines,,16
P1,Soprano S,19,24,568,1,below,single,through,through,yes,8
P1,Soprano S,20,24,600,1,below,single,though,though,yes,8
P1,Soprano S,21,16,624,1,below,single,in,in,,12
P1,Soprano S,21,28,636,1,below,single,the,the,,4
P1,Soprano S,22,0,640,1,below,single,night,night,,24
P1,Soprano S,23,8,680,1,below,single,our,our,yes,6
P1,Soprano S,23,28,700,1,below,single,eyes,eyes,,4
P1,Soprano S,24,4,708,1,below,single,fail,fail,yes,4
P1,Soprano S,24,28,732,1,below,begin,a,a-,,4
P1,Soprano S,25,0,736,1,below,end,las,-las,,24
P1,Soprano S,25,24,760,1,below,single,in,in,,8
P1,Soprano S,26,0,768,1,below,single,time,time,,12
P1,Soprano S,26,12,780,1,below,single,we,we,,4
P1,Soprano S,26,16,784,1,below,single,feel,feel,yes,16
P1,Soprano S,27,8,808,1,below,single,less,less,yes,8
P1,Soprano S,28,0,832,1,below,single,and,and,,16
P1,Soprano S,28,16,848,1,below,single,less,less,yes,16
P1,Soprano S,32,20,980,1,below,single,Who,Who,yes,4
P1,Soprano S,33,8,992,1,below,single,can,can,,4
P1,Soprano S,33,12,996,1,below,single,feel?,feel?,yes,4
P1,Soprano S,36,8,1064,1,below,single,Who,Who,yes,8
P1,Soprano S,36,28,1084,1,below,single,feels,feels,yes,4
P1,Soprano S,37,4,1092,1,below,single,these,these,yes,4
P1,Soprano S,37,16,1104,1,below,begin,with,with-,,4
P1,Soprano S,37,20,1108,1,below,end,ered,-ered,,4
P1,Soprano S,37,24,1112,1,below,single,trees,trees,yes,8
P1,Soprano S,41,16,1232,1,below,single,where,where,,16
P1,Soprano S,42,0,1248,1,below,single,is,is,,12
P1,Soprano S,42,12,1260,1,below,single,the,the,,4
P1,Soprano S,42,16,1264,1,below,single,sun,sun,yes,16
P1,Soprano S,52,0,1520,1,below,single,What,What,,4
P1,Soprano S,52,4,1524,1,below,single,are,are,yes,4
P1,Soprano S,52,10,1530,1,below,begin,won,won-,,2
P1,Soprano S,52,20,1540,1,below,end,ders,-ders,,4
P1,Soprano S,53,0,1544,1,below,single,in,in,,8
P1,Soprano S,53,12,1556,1,below,single,night?,night?,,12
P1,Soprano S,57,8,1648,1,below,single,Where,Where,,8
P1,Soprano S,57,16,1656,1,below,single,sleeps,sleeps,yes,8
P1,Soprano S,58,4,1668,1,below,single,the,the,,4
P1,Soprano S,58,8,1672,1,below,single,light?,light?,yes,16
P1,Soprano S,60,28,1740,1,below,single,Deep,Deep,yes,4
P1,Soprano S,61,16,1760,1,below,begin,shad,shad-,,4
P1,Soprano S,61,20,1764,1,below,end,ows,-ows,,12
P1,Soprano S,62,16,1792,1,below,single,live,live,yes,8
P1,Soprano S,63,16,1816,1,below,single,in,in,yes,8
P1,Soprano S,65,8,1856,1,below,single,night.,night.,,16
P1,Soprano S,66,16,1888,1,below,single,We,We,,4
P1,Soprano S,66,20,1892,1,below,begin,car,car-,,4
P1,Soprano S,66,26,1898,1,below,end,ry,-ry,,2
P1,Soprano S,66,28,1900,1,below,single,on,on,yes,4
P1,Soprano S,67,4,1908,1,below,single,with,with,,4
P1,Soprano S,67,8,1912,1,below,begin,flash,flash-,,8
P1,Soprano S,67,20,1924,1,below,end,lights,-lights,,4
P1,Soprano S,68,16,1952,1,below,single,we,we,,4
P1,Soprano S,68,20,1956,1,below,begin,car,car-,,4
P1,Soprano S,68,26,1962,1,below,end,ry,-ry,,2
P1,Soprano S,68,28,1964,1,below,single,on,on,yes,4
P1,Soprano S,69,16,1984,1,below,single,in,in,,16
P1,Soprano S,70,0,2000,1,below,single,this:,this:,,24
P1,Soprano S,71,8,2032,1,below,single,new,new,,16
P1,Soprano S,72,0,2048,1,below,single,world.,world.,yes,24
P1,Soprano S,73,16,2088,1,below,single,Our,Our,,4
P1,Soprano S,73,20,2092,1,below,single,one,one,yes,4
P1,Soprano S,75,8,2120,1,below,single,world,world,yes,16
P1,Soprano S,77,0,2160,1,below,single,This,This,,16
P1,Soprano S,77,16,2176,1,below,single,Brave,Brave,,16
P1,Soprano S,78,4,2196,1,below,single,World,World,yes,4
P1,Soprano S,89,16,2552,1,below,single,warm,warm,yes,16
P1,Soprano S,90,24,2592,1,below,single,"breath,","breath,",yes,8
P1,Soprano S,91,24,2624,1,below,single,warm,warm,yes,8
P1,Soprano S,93,0,2664,1,below,single,hands:,hands:,,16
P1,Soprano S,93,24,2688,1,below,begin,to,to-,yes,8
P1,Soprano S,94,12,2708,1,below,middle,geth,geth-,yes,4
P1,Soprano S,95,8,2736,1,below,end,er.,-er.,yes,24
P1,Soprano S,101,16,2936,1,below,begin,car,car-,,16
P1,Soprano S,102,0,2952,1,below,end,ry,-ry,,8
P1,Soprano S,102,16,2968,1,below,single,yours,yours,yes,12
P1,Soprano S,103,16,3000,1,below,single,too,too,,16
P1,Soprano S,104,8,3024,1,below,single,One,One,,24
P1,Soprano S,105,0,3048,1,below,single,"light,","light,",,32
P1,Soprano S,106,8,3088,1,below,single,though,though,,24
P1,Soprano S,107,0,3112,1,below,single,"dim,","dim,",,16
P1,Soprano S,108,0,3144,1,below,single,with,with,,16
P1,Soprano S,108,16,3160,1,below,single,"love,","love,",yes,8
P1,Soprano S,110,0,3192,1,below,single,can,can,,24
P1,Soprano S,110,24,3216,1,below,single,pierce,pierce,yes,8
P1,Soprano S,111,8,3232,1,below,single,can,can,,16
P1,Soprano S,111,24,3248,1,below,single,pierce,pierce,yes,8
P1,Soprano S,112,8,3264,1,below,single,night,night,yes,24
P1,Soprano S,115,0,3352,1,below,single,Who?,Who?,yes,32
P1,Soprano S,117,0,3416,1,below,single,who,who,yes,24
P1,Soprano S,119,0,3472,1,below,single,who,who,yes,24
P1,Soprano S,121,0,3520,1,below,single,who,who,yes,24
P1,Soprano S,123,0,3568,1,below,single,who,who,yes,24
P1,Soprano S,124,16,3608,1,below,single,who,who,yes,8
P1,Soprano S,125,8,3624,1,below,single,who,who,,16
P1,Soprano S,126,0,3640,1,below,single,who,who,,24
P1,Soprano S,127,0,3664,1,below,single,who,who,,24
P1,Soprano S,128,0,3688,1,below,single,who,who,yes,24
P1,Soprano S,130,4,3740,1,below,single,Night,Night,yes,4
P1,Soprano S,133,0,3808,1,below,single,Light,Light,yes,24
P1,Soprano S,134,12,3844,1,below,single,Light,Light,yes,12
P1,Soprano S,136,8,3888,1,below,single,Night,Night,yes,16
P1,Soprano S,139,8,3960,1,below,single,Light,Light,,16
P1,Soprano S,140,8,3984,1,below,single,night,night,yes,16
P1,Soprano S,141,8,4008,1,below,single,light,light,yes,16
P1,Soprano S,142,16,4040,1,below,single,night,night,yes,8
P1,Soprano S,144,16,4088,1,below,single,light,light,yes,8
P1,Soprano S,148,0,4160,1,below,single,night,night,,24
P1,Soprano S,149,0,4184,1,below,single,light,light,yes,24
P2,Alto S,2,0,0,1,below,single,Here,Here,,16
P2,Alto S,2,16,16,1,below,single,"now,","now,",,16
P2,Alto S,3,6,38,1,below,begin,a,a-,,2
P2,Alto S,3,8,40,1,below,end,wake,-wake,,8
P2,Alto S,3,28,60,1,below,begin,with,with-,,4
P2,Alto S,4,0,64,1,below,end,no,-no,,16
P2,Alto S,4,16,80,1,below,single,light,light,yes,16
P2,Alto S,6,8,136,1,below,single,this,this,,8
